Time,V_sec,V_PV,V_L1,V_L2,I_sec,I_PV,I_L1,I_L2,I_battery,P_PV,P_L1,P_L2,battery_soc,battery_ah
0,242.8453174766-148.156667239725i,242.84519799707-148.156644597255i,242.845048647682-148.156616294157i,242.845018777805-148.156610633538i,-0.000971380373809996+0.000592626499140354i,0.00024284519799707-0.000148156644597256i,0.00024284504864768-0.00014815661629416i,0.000242845018777806-0.000148156610633537i,-0.000242845108387433+0.000148156627615397i,-0.0404620907642768,0.0404620503022146,0.0404620422098051,80,0
3.01982549122024e-08,242.844743807179-148.157469875208i,242.79758225367-148.148532153326i,242.703348593016-148.1306736682i,242.679797608066-148.126210455423i,-0.383427515704849+0.233925986836516i,0.000242797582253659-0.000148148532153321i,0.191471577888259-0.116815206825732i,0.191471554337274-0.116815202362519i,-0.000241585897062402+0.000147429116111496i,-0.0404493267637047,31.8873541978273,31.8848356519075,80,1.61831963679175e-18
6.03965098244049e-08,242.844186952666-148.158248978827i,242.751362433246-148.140657372675i,242.565802539358-148.105491069399i,242.519419924215-148.096700888861i,-0.754670842961232+0.460420266714255i,0.000242751362433224-0.000148140657372663i,0.377094468031419-0.230063060331613i,0.377094421648804-0.230063051541432i,-0.000239201918575765+0.000146014183837687i,-0.040436939164999,62.7719123992678,62.7621496623177,80,6.42185568805352e-18
9.05947647366073e-08,242.843646420249-148.159005240425i,242.706497616576-148.13301329341i,242.432288718724-148.081046233177i,242.363743747091-148.068055843792i,-1.11503006399756+0.680275901124638i,0.000242706497616544-0.000148133013293392i,0.557275849945631-0.339991924564513i,0.557275781400659-0.339991911574123i,-0.000235726153655097+0.000143931972708479i,-0.0404249168063402,92.7240098251679,92.7026930146221,80,1.5931569151838e-17
1.2079301964881e-07,242.84311711-148.159745797184i,242.662564422319-148.125527833126i,242.301547228824-148.057108645947i,242.21130005467-148.040005200831i,-1.46790600841833+0.895567168535192i,0.000242662564422277-0.000148125527833101i,0.733715968175946-0.447638834572161i,0.733715877928772-0.447638817468715i,-0.000231499749191642+0.000141390966482394i,-0.0404131460839222,122.028312939961,121.991364765022,80,2.93630405493377e-17
1.76056774032559e-07,242.842184939839-148.161049982014i,242.58519406002-148.112344899249i,242.071299217044-148.014951247439i,241.942832320023-147.990604127982i,-2.08935151252881+1.27471779126293i,0.00024258519405996-0.000148112344899213i,1.04444386543288-0.637217226996782i,1.04444373696598-0.637217202649663i,-0.000221324935890945+0.000135249271584231i,-0.040392421544336,173.573780126283,173.498917350662,80,7.13654213092473e-17
2.65294449911328e-07,242.840780693904-148.163014607256i,242.468642762551-148.092485060994i,241.724450944167-147.951441956702i,241.538409093953-147.916182340678i,-3.02549838856056+1.8458814840873i,0.000242468642762464-0.000148092485060942i,1.51252898270623-0.922806111754148i,1.51252879666438-0.922806076494532i,-0.000198140547191795+0.00012120335355524i,-0.0403612134273128,251.072866381143,250.915875565478,80,2.08068595979761e-16
4.20270129514674e-07,242.838614353077-148.166045362173i,242.288842039863-148.061845272209i,241.189374232785-147.853459740177i,240.914511592644-147.801364178935i,-4.46965971396563+2.72702291442746i,0.000242288842039734-0.000148061845272131i,2.23463901960935-1.36339461465385i,2.23463874474671-1.36339456255829i,-0.000139660767536514+8.56753700481465e-05i,-0.0403130965011931,370.276898771719,369.934239018455,80,7.43443151648163e-16
5.7524580911802e-07,242.836758963338-148.168640989331i,242.134853900986-148.035601285499i,240.73111081716-147.769534696995i,240.380176924768-147.70301841171i,-5.70648409293146+3.48169085908527i,0.000242134853900821-0.0001480356012854i,2.85309096221564-1.74075272772488i,2.85309061128175-1.74075266120859i,-6.03845801678938e-05+3.74345505185624e-05i,-0.0402719133607782,472.0289885975,471.470424145514,80,1.76716428216685e-15
7.30221488721366e-07,242.835171534964-148.170861660285i,242.00310907356-148.013145672514i,240.339039212807-147.697724266479i,239.923020641362-147.618868712053i,-6.7646427403848+4.12737011050572i,0.000242003109073365-0.000148013145672396i,3.38221898247561-2.06362196882389i,3.38221856645704-2.06362188996833i,3.68116569272533e-05-2.17614321704928e-05i,-0.0402366980465387,558.835764598552,558.050811890112,80,3.41500513500838e-15
8.85197168324712e-07,242.833813295088-148.17276164225i,241.890388487972-147.993930542133i,240.003580075116-147.636276301726i,239.531873408934-147.546861884282i,-7.66999355607575+4.67983045058452i,0.00024189038848775-0.000147993930541999i,3.8349507356559-2.33988643662676i,3.83495026394923-2.33988634721234i,0.000149333917877829-9.03271851249172e-05i,-0.0402065817600491,632.927013220803,631.91785442545,80,5.8066154081327e-15
1.04017284792806e-06,242.83265094456-148.174387539491i,241.793927604203-147.977485311957i,239.716506655855-147.583685899312i,239.197142995785-147.485234457741i,-8.44474314679833+5.15261543949634i,0.000241793927603959-0.000147977485311809i,4.22238841337841-2.57631723075781i,4.22238789401476-2.57631713230637i,0.000274954522440837-0.00016690105315728i,-0.040180819792718,696.199296580189,694.975928582009,80,9.04443393299506e-15
1.1951485275314e-06,242.83165613494-148.175779025859i,241.711372966335-147.963409328958i,239.470815517002-147.538671796988i,238.910663526756-147.432485028969i,-9.10779586410097+5.55725511867218i,0.000241711372966072-0.000147963409328799i,4.55398324498588-2.77867879261239i,4.55398268483389-2.77867868642563i,0.000411777091769059-0.000250323775166708i,-0.0401587791607162,750.254329970011,748.831264379893,80,1.32157713726439e-14
1.35012420713475e-06,242.830804693122-148.176969930447i,241.640717809536-147.951360922054i,239.260534908813-147.500141361305i,238.665472055664-147.387333233387i,-9.67527109810887+5.90358135676695i,0.000241640717809257-0.000147951360921884i,4.83779411854551-2.95188656250994i,4.83779352348266-2.95188644970181i,0.000558184637110257-0.000339606805721152i,-0.0401399208510516,796.44844691733,794.842473409571,80,1.83951586938419e-14
