Time,V_sec,V_PV,V_L1,V_L2,I_sec,I_PV,I_L1,I_L2,I_battery,P_PV,P_L1,P_L2,battery_soc,battery_ah
0,242.8453174766-148.156667239725i,242.84519799707-148.156644597255i,242.845048647682-148.156616294157i,242.845018777805-148.156610633538i,-0.000971380373809996+0.000592626499140354i,0.00024284519799707-0.000148156644597256i,0.00024284504864768-0.00014815661629416i,0.000242845018777806-0.000148156610633537i,-0.000242845108387433+0.000148156627615397i,-0.0404620907642768,0.0404620503022146,0.0404620422098051,80,0
3.00550146856712e-08,242.844746446467-148.15746618254i,242.797801318836-148.148569476923i,242.704000710032-148.130793062213i,242.680558038052-148.126350376516i,-0.381667957123441+0.232852486222849i,0.000242797801318825-0.000148148569476918i,0.190590985197203-0.116277960435026i,0.190590961754531-0.11627795599234i,-0.000243212370387329+0.000148421226006833i,-0.0404493854816582,31.7407705507624,31.7382751029926,80,1.59564736830424e-18
6.01100293713423e-08,242.844192074389-148.158241812999i,242.751787542211-148.140729802841i,242.567068216646-148.105722804028i,242.520895892012-148.096972477732i,-0.751256320208709+0.458337062012679i,0.000242751787542189-0.000148140729802829i,0.375384792667721-0.229019985536421i,0.375384746495396-0.229019976786095i,-0.000244029258049151+0.000148958960359484i,-0.040437053090725,62.4875795524812,62.4779051116002,80,6.33209054592528e-18
9.01650440570135e-08,242.843653874399-148.158994811362i,242.707116316348-148.13311870982i,242.434131085299-148.081383563222i,242.365892324211-148.06845120793i,-1.11006060577604+0.677244004785805i,0.000242707116316316-0.000148133118709802i,0.554786342124234-0.338473061366903i,0.554786273885473-0.338473048434547i,-0.000245282650020322+0.000149761865645151i,-0.0404250825846422,92.3103520084852,92.2892251884034,80,1.5709395109275e-17
1.20220058742685e-07,242.843126794379-148.159732247906i,242.663368228865-148.125664791202i,242.303941166233-148.057546976144i,242.214091996367-148.040518963423i,-1.46144976263186+0.891628147663101i,0.000242663368228823-0.000148125664791178i,0.730480176466669-0.44566464595913i,0.730480086617499-0.445664628931117i,-0.000246836179459721+0.000150747108062918i,-0.0404133614249997,121.49111997819,121.454496926045,80,2.89541704791072e-17
1.75391912438615e-07,242.842195586899-148.161035086056i,242.586077760861-148.112495475841i,242.07393263496-148.015433453093i,241.945904069519-147.991169411908i,-2.08225356778581+1.27038720363144i,0.000242586077760801-0.000148112495475806i,1.04088022030748-0.635042981815349i,1.04088009227891-0.635042957551308i,-0.000250669121659909+0.000153151769309331i,-0.0403926582197299,172.983065273259,172.9087124346,80,7.05544323677673e-17
2.64538089223851e-07,242.840791759523-148.162999126034i,242.4695611891-148.092641564168i,241.727191650254-147.951943860979i,241.541607259276-147.916770953326i,-3.01812155740106+1.84138064030537i,0.000242469561189013-0.000148092641564116i,1.50880984510309-0.920536946307738i,1.5088096595187-0.92053691113483i,-0.000259583218089214+0.000158690221234213i,-0.0403614592943294,250.457798596552,250.301578823439,80,2.06292040018065e-16
4.19384619567305e-07,242.838625373282-148.166029945063i,242.289756671741-148.062001145373i,241.192113646541-147.853961521974i,240.917711591434-147.801953269927i,-4.46231341874141+2.72254052363502i,0.000242289756671613-0.000148062001145296i,2.23089449688303-1.3611098709914i,2.23089422248097-1.36110981898315i,-0.000282409620744239+0.000172771659333164i,-0.0403133411855907,369.659822759197,369.318310371626,80,7.38889069827117e-16
5.7423114991076e-07,242.836769642233-148.168626050273i,242.135740180715-148.03575234315i,240.733779447302-147.770023652547i,240.383298929632-147.703593317875i,-5.69936557727946+3.47734727482676i,0.000242135740180551-0.00014803575234305i,2.84940508590264-1.73850367906351i,2.84940473542212-1.73850361263317i,-0.00031362021451369+0.00019194737773435i,-0.0402721503223053,471.423392640481,470.866270434257,80,1.75821607444138e-15
7.29077680254214e-07,242.835181651417-148.170847508591i,242.003948650167-148.013288785803i,240.341585541781-147.698190977231i,239.926005616378-147.61941858906i,-6.75789939381031+4.12325527890574i,0.000242003948649972-0.000148013288785685i,3.37865287444891-2.06144591531927i,3.37865245886898-2.06144583654688i,-0.000352056543771623+0.00021551375079313i,-0.0402369224096988,558.251310665202,557.468012333141,80,3.3998402779296e-15
8.83924210597669e-07,242.833822690197-148.172748500147i,241.891168176608-147.994063461953i,240.005967511692-147.636714077676i,239.534679572655-147.54737905735i,-7.66373127157624+4.67600900571683i,0.000241891168176387-0.000147994063461819i,3.83154658898883-2.33780913247816i,3.83154611770089-2.33780904314314i,-0.000396673718348639+0.000242836032062144i,-0.0402067900308757,632.370252308122,631.362884311837,80,5.78325119939467e-15
1.03877074094112e-06,242.83265950845-148.174375560607i,241.794638289353-147.977606482337i,239.718710334345-147.584090194197i,239.199742110259-147.48571374026i,-8.43903513139208+5.1491320757449i,0.000241794638289109-0.00014797760648219i,4.21917364071381-2.57435541376719i,4.21917312174559-2.57435531539074i,-0.000446574294400203+0.000273368980489506i,-0.0401810095628198,695.674382702956,694.452876875757,80,9.01076882866928e-15
1.19361727128458e-06,242.831663795683-148.175768310728i,241.712008682422-147.963517730619i,239.472819618391-147.539039718749i,238.913037793074-147.432923152398i,-9.1026900241306+5.55413909443045i,0.00024171200868216-0.00014796351773046i,4.55097393885484-2.77684229434632i,4.55097337907301-2.77684218822975i,-0.000500994194063428+0.000306648336642101i,-0.0401589488602118,749.763603352823,748.342417926679,80,1.31696187377981e-14
1.34846380162803e-06,242.830811407947-148.176960538817i,241.641275010601-147.9514559481i,239.262330535575-147.500471283683i,238.667611652111-147.387728395103i,-9.67079590573256+5.90085007222404i,0.000241641275010322-0.000147951455947931i,4.83499778867665-2.95017997767726i,4.83499719395776-2.95017986493437i,-0.000559281823138532+0.000342278156462393i,-0.0401400695529095,795.992888066103,794.388770638102,80,1.83342736809755e-14
1.50331033197149e-06,242.83008170766-148.177981125046i,241.580724065077-147.941129411956i,239.082144665815-147.467451947402i,238.457518947394-147.349036218864i,-10.157114058526+6.19765892032236i,0.000241580724064784-0.000147941129411778i,5.07812611109311-3.09856558880811i,5.0781254864674-3.09856547039238i,-0.000620880241395453+0.00037991999245358i,-0.0401239120056974,835.513426798525,833.743920064955,80,2.45684223948621e-14
1.65815686231494e-06,242.829457034287-148.17885478255i,241.528889816471-147.932288460785i,238.927899183156-147.439183288507i,238.277672639214-147.315911009523i,-10.5734202098541+6.45174872868128i,0.000241528889816166-0.0001479322884606i,5.28624700916132-3.22559081772367i,5.28624635893478-3.22559069445139i,-0.000685312868187935+0.000419284217758751i,-0.0401100832925605,869.305184125122,867.387655550722,80,3.19265735339414e-14
1.84545836453446e-06,242.828819111278-148.179746933314i,241.475957787145-147.923259188014i,238.770388909207-147.410313067542i,238.094020300084-147.282081025287i,-10.998539460399+6.71122914578574i,0.000241475957786828-0.000147923259187821i,5.4987661174802-3.35530626095956i,5.4987654411116-3.35530613272752i,-0.00076642584942072+0.000468828839462113i,-0.0400959643989592,903.774635378527,901.69982013322,80,4.23990067044117e-14
2.03275986675397e-06,242.828290676594-148.180485926883i,241.432112161788-147.91577888117i,238.639919235574-147.386396126524i,237.941897200938-147.254055416608i,-11.3506785202954+6.9261754479514i,0.00024143211216146-0.000147915778880971i,5.67479364635453-3.46275374774941i,5.67479294833249-3.4627536154087i,-0.000850493496257302+0.000520169014415738i,-0.0400842712124085,932.297546499497,930.087756563096,80,5.46523457320567e-14
