Time,V_sec,V_PV,V_L1,V_L2,I_sec,I_PV,I_L1,I_L2,I_battery,P_PV,P_L1,P_L2,battery_soc,battery_ah
0,242.8453174766-148.156667239725i,242.84519799707-148.156644597255i,242.845048647682-148.156616294157i,242.845018777805-148.156610633538i,-0.000971380373809996+0.000592626499140354i,0.00024284519799707-0.000148156644597256i,0.00024284504864768-0.00014815661629416i,0.000242845018777806-0.000148156610633537i,-0.000242845108387433+0.000148156627615397i,-0.0404620907642768,0.0404620503022146,0.0404620422098051,80,0
1.05662447204704e-07,242.845130452458-148.15692891125i,242.829674551308-148.153999856227i,242.798852319286-148.148158723082i,242.791154220066-148.146699853439i,-0.125657938546415+0.0766624770523474i,0.000242829674551304-0.000148153999856226i,0.0625862846987608-0.0381831681874201i,0.0625862770006617-0.0381831667285505i,-0.000242547172441346+0.000147988136520586i,-0.0404579292580459,10.4263220784836,10.4260522860579,80,6.49303959564606e-18
2.11324894409408e-07,242.844961301364-148.157165575452i,242.81563463561-148.151607849031i,242.757070806134-148.140509362439i,242.742437291541-148.137736151522i,-0.238428513074932+0.145462696053224i,0.000242815634635604-0.000148151607849028i,0.118971849786386-0.0725834366362612i,0.118971835152872-0.0725834338630503i,-0.000242012501038181+0.000147673946063878i,-0.0404541656658726,19.8169025185513,19.8159294043157,80,2.53062412671152e-17
3.16987341614112e-07,242.844808315309-148.157379622167i,242.802936476528-148.149444424731i,242.719282206647-148.133590980296i,242.698376059319-148.129629025738i,-0.340421859476904+0.20768799193408i,0.000242802936476518-0.000148149444424727i,0.16996890686393-0.103696309235945i,0.169968885957783-0.103696305273991i,-0.000241263718714488+0.000147227979719157i,-0.0404507619224891,28.3078188649926,28.3058339170706,80,6.17098454906403e-17
4.22649788818816e-07,242.844665970187-148.157578780533i,242.791121552166-148.147431469755i,242.684122012279-148.127153779421i,242.657379520454-148.122085758374i,-0.435320909473673+0.26558522435346i,0.000242791121552153-0.000148147431469749i,0.217418885549896-0.132645193360491i,0.217418858807404-0.13264518829247i,-0.000240373994820555+0.000146695269029231i,-0.0404475950778201,36.2062331517876,36.2029862461126,80,1.12508264622089e-16
6.10938012033115e-07,242.844442660203-148.157891217767i,242.772586427303-148.144273540505i,242.628963009929-148.117055073266i,242.59306448819-148.11025184668i,-0.584197413211424+0.356414008857056i,0.000242772586427287-0.000148144273540495i,0.291858144967367-0.178060186387202i,0.291858109068845-0.178060179583976i,-0.000238386588784825+0.000145498612337932i,-0.0404426272517205,48.5934947464515,48.5876455583935,80,2.61417418365637e-16
9.85523640993265e-07,242.844099038251-148.158371982882i,242.744065322285-148.13941416287i,242.54408628346-148.101515290576i,242.494098694669-148.092041932328i,-0.813282307211533+0.496178406767594i,0.000242744065322261-0.000148139414162857i,0.406403256638509-0.247943989626058i,0.40640320665092-0.2479439801527i,-0.000233099856781408+0.000142297574673898i,-0.0404349836388502,67.6457935574097,67.63445480454,80,8.73614550473101e-16
1.39592891411355e-06,242.843843224027-148.158729891778i,242.722832536081-148.135796455711i,242.48089864051-148.089946181766i,242.420422110928-148.078484930343i,-0.983826214631152+0.600228105732091i,0.000242722832536053-0.000148135796455695i,0.491678921444991-0.299971087300626i,0.491678860968461-0.299971075839374i,-0.000225709385164217+0.000137806795635201i,-0.0404292938129485,81.8227244445067,81.8061297261071,80,2.13697590785051e-15
1.80633418723383e-06,242.843675993533-148.158963860779i,242.708952388335-148.133431436493i,242.439591602463-148.082382988274i,242.372258087399-148.069622143575i,-1.09531271428747+0.668247408111505i,0.000242708952388303-0.000148133431436475i,0.547426463494887-0.333983346758336i,0.547426396161372-0.333983333997491i,-0.000217145678822407+0.000132593924241126i,-0.0404255745392915,91.0874490542272,91.0668789207693,80,4.14431531687763e-15
2.21673946035411e-06,242.843567087324-148.159116227599i,242.699913240614-148.131891217103i,242.412690821769-148.077457379991i,242.340891611653-148.063850133791i,-1.16791572291106+0.712543959645927i,0.00024269991324058-0.000148131891217084i,0.583732642628194-0.356134467859016i,0.583732570828984-0.35613445425177i,-0.000207809540641659+0.000126905643923574i,-0.0404231525412731,97.1198435529709,97.0964550696358,80,6.99032036740372e-15
2.62714473347439e-06,242.843495994648-148.159215689702i,242.694012642999-148.130885755759i,242.395130003291-148.074241843205i,242.320415435655-148.060082020902i,-1.21530958429217+0.741460258923675i,0.000242694012642964-0.000148130885755739i,0.60743449617483-0.370595616517306i,0.607434421460262-0.370595602357484i,-0.000197972644437444+0.000120909163128991i,-0.0404215715437671,101.057414307498,101.032088319901,80,1.07379325835447e-14
3.03755000659468e-06,242.843449443093-148.159280816855i,242.690148957989-148.130227363085i,242.383630800777-148.072136174489i,242.307007041406-148.05761447401i,-1.24634280109677+0.760394704310091i,0.000242690148957954-0.000148130227363064i,0.622956188391963-0.380065937961862i,0.622956111768204-0.380065923440161i,-0.00018781078764644+0.000114712680704262i,-0.0404205363299392,103.635779046715,103.609142464058,80,1.54277949378395e-14
3.58358309267789e-06,242.843410491331-148.159335311026i,242.686916067867-148.129676443281i,242.374008332959-148.070374104891i,242.295786754163-148.055549536445i,-1.27230939557891+0.776238019548442i,0.00024268691606783-0.00014812967644326i,0.635946400227278-0.387991811770987i,0.635946322005699-0.387991796946419i,-0.000173986429860935+0.000106281154592073i,-0.0404196701368555,105.793485413283,105.765726568161,80,2.31745813546252e-14
4.28006369313255e-06,242.84338361181-148.15937291533i,242.684685167178-148.129296256145i,242.367367183507-148.069157917069i,242.288042491081-148.05412424396i,-1.29022794509833+0.787171067987091i,0.000242684685167141-0.000148129296256123i,0.644914644241364-0.393463806486807i,0.644914564916672-0.393463791453134i,-0.000156051255125194+9.53407508939717e-05i,-0.0404190724120104,107.283059440107,107.254512286475,80,3.56001520729044e-14
4.97654429358722e-06,242.843371206286-148.159390270177i,242.683655572904-148.129120782055i,242.364300981969-148.068596362688i,242.284466580364-148.053466063883i,-1.29849758444448+0.792216937929353i,0.000242683655572866-0.000148129120782034i,0.64905852799664-0.395992270709428i,0.649058448162239-0.39599225557913i,-0.000137924630030552+8.42825200129166e-05i,-0.0404187965529401,107.971318064355,107.942402932706,80,5.09123051805933e-14
5.90215677311392e-06,242.843364021506-148.159400321157i,242.683059284257-148.129019149244i,242.362523507298-148.068270797941i,242.282393064658-148.053084375053i,-1.30328691451604+0.795139310746013i,0.000242683059284219-0.000148129019149223i,0.651465299890559-0.397460843099844i,0.651465219760117-0.397460827913421i,-0.000113711806076367+6.95107135981718e-05i,-0.0404186367888355,108.3710569033,108.341926966359,80,7.57695235734427e-14
7.13911985271903e-06,242.843361029613-148.159404506425i,242.682810984704-148.128976823558i,242.361780601737-148.068134694067i,242.281525509941-148.052924637557i,-1.30528121444496+0.796356253646429i,0.000242682810984667-0.000148128976823536i,0.652478672135584-0.398079211622824i,0.652478591880493-0.398079196412767i,-8.12676179024597e-05+4.97166340144107e-05i,-0.0404185702611099,108.539369554456,108.510148934831,80,1.17049575580657e-13
8.80266369541398e-06,242.843360498983-148.159405248598i,242.682766952114-148.128969314494i,242.36164419282-148.068109664352i,242.281364663844-148.052894973135i,-1.30563486586107+0.796572089454561i,0.000242682766952077-0.000148128969314473i,0.652677336839821-0.398200453525522i,0.652677256560292-0.398200438310831i,-3.75896940033893e-05+2.30686488927147e-05i,-0.0404185584628482,108.572370452451,108.543132037986,79.9999999999999,1.8713229119168e-13
1.11347473512909e-05,242.843360772741-148.159404865585i,242.682789674223-148.128973185986i,242.361704278836-148.068120617226i,242.281432207638-148.052907339448i,-1.30545235966348+0.796460741191374i,0.000242682789674185-0.000148128973185964i,0.652616704770077-0.398163461384342i,0.652616624498006-0.398163446171065i,2.36523942818783e-05-1.42953372198266e-05i,-0.0404185645505927,108.562306117271,108.533073133905,79.9999999999999,3.13527206161639e-13
1.47292222989172e-05,242.843361028122-148.159404508324i,242.68281086918-148.128976798493i,242.361755743502-148.068129969028i,242.281488337368-148.052917576015i,-1.30528212387339+0.796356866139792i,0.000242682810869143-0.000148128976798471i,0.652578779613039-0.398140316292622i,0.652578699345633-0.398140301080229i,0.000118037896149301-7.18802098572727e-05i,-0.0404185702293613,108.556015443347,108.526785857122,79.9999999999998,5.72695913949348e-13
2.12275861931042e-05,242.843361239759-148.159404212238i,242.682828434605-148.128979791735i,242.361787030602-148.068135563654i,242.281517808413-148.052922826668i,-1.30514103793575+0.796270784704937i,0.000242682828434567-0.000148128979791713i,0.65259354494812-0.398149322417275i,0.652593464678898-0.398149307204538i,0.000288654519703904-0.000175973896668883i,-0.0404185749355738,108.55848280226,108.52925189365,79.9999999999996,1.23935446442074e-12
3.61200372813183e-05,242.843361782592-148.15940345277i,242.682873489835-148.128987468634i,242.361873027008-148.068151000419i,242.281602019206-148.052937925183i,-1.30477915058863+0.796049992715369i,0.000242682873489797-0.000148128987468613i,0.65260806261839-0.398158177953973i,0.652607982347382-0.398158162740898i,0.000679577250627628-0.000414476966971447i,-0.0404185870068768,108.56092881203,108.531696603164,79.9999999999988,3.72920858082586e-12
7.67009697975381e-05,242.84336337509-148.159401224758i,242.683005666357-148.129009990617i,242.362135419823-148.068198204244i,242.281864228147-148.052985094933i,-1.30371749986696+0.795402259882193i,0.000242683005666319-0.000148129009990595i,0.652609560070559-0.398159083223278i,0.652609479799368-0.398159068010168i,0.00174422300863448-0.00106402036124387i,-0.0404186224200224,108.561272312808,108.532039970137,79.9999999999942,1.730884589785e-11
