Time,V_sec,V_PV,V_L1,V_L2,I_sec,I_PV,I_L1,I_L2,I_battery,P_PV,P_L1,P_L2,battery_soc,battery_ah
0,242.8453174766-148.156667239725i,242.84519799707-148.156644597255i,242.845048647682-148.156616294157i,242.845018777805-148.156610633538i,-0.000971380373809996+0.000592626499140354i,0.00024284519799707-0.000148156644597256i,0.00024284504864768-0.00014815661629416i,0.000242845018777806-0.000148156610633537i,-0.000242845108387433+0.000148156627615397i,-0.0404620907642768,0.0404620503022146,0.0404620422098051,80,0
2.14033023748585e-08,242.844497283192-148.157814789584i,242.777120413907-148.145045901217i,242.642456227308-148.119525106462i,242.608797638809-148.11314632175i,-0.547779441796612+0.334196868125837i,0.000242777120413892-0.000148145045901209i,0.273647112198877-0.166950370529125i,0.273647078540288-0.166950364150341i,-0.000242473937033601+0.000147988400469748i,-0.0404438424107688,45.5635085212835,45.5583662079504,80,1.16140845826977e-18
4.28066047497171e-08,242.843694271281-148.158938288704i,242.710469444364-148.133689924834i,242.444109257051-148.083210173714i,242.377526652011-148.070591647385i,-1.08312759169542+0.660813120966755i,0.000242710469444333-0.000148133689924816i,0.541321536344811-0.330258659916606i,0.541321469762206-0.33025864729808i,-0.000241875118958338+0.000147680062143666i,-0.0404259810343201,90.072990124448,90.0528761333434,80,4.6192794813394e-18
6.42099071245756e-08,242.842908080954-148.160038241139i,242.645215193366-148.122571588955i,242.249918772091-148.047655250474i,242.151102085303-148.02892757346i,-1.60725600002188+0.980587758981073i,0.000242645215193319-0.000148122571588928i,0.803386200098384-0.490146210295815i,0.803386101281697-0.490146191568138i,-0.000241053426600548+0.00014723454553045i,-0.0404084983351722,133.592619440327,133.548322458712,80,1.14848814687892e-17
8.56132094994342e-08,242.842133516489-148.161121919911i,242.580926248619-148.111617495197i,242.058600935387-148.012625597206i,241.928026997585-147.987879025558i,-2.1236301815008+1.29563396450898i,0.000242580926248558-0.000148111617495161i,1.06157382672277-0.647669591710233i,1.06157369614883-0.647669566963661i,-0.000240077702948763+0.000146694217593369i,-0.0403912785083306,176.41317603732,176.335837673087,80,2.1196709785434e-17
1.2453639820994e-07,242.840762709306-148.16303976505i,242.467150220367-148.092230629956i,241.720014165034-147.950629272848i,241.533237475251-147.915230324806i,-3.03748620349009+1.85319667216295i,0.00024246715022028-0.000148092230629903i,1.51850306021485-0.926451605937247i,1.51850287343816-0.926451570538299i,-0.00023780268686861+0.000145403456771601i,-0.0403608138544566,252.060839657018,251.90260628897,80,5.14123827449742e-17
1.85864285400055e-07,242.838704859525-148.165918757076i,242.29635317007-148.063125682634i,241.21173807633-147.85755635378i,240.940591480416-147.806165386501i,-4.40933174923019+2.69020965230906i,0.000242296353169943-0.000148063125682557i,2.204428428693-1.34495955140092i,2.20442815754641-1.34495950000996i,-0.000232866637606698+0.000142537772501287i,-0.0403151059731922,365.298222707365,364.964765225966,80,1.46683283108203e-16
2.83334323277994e-07,242.835679109089-148.170151708446i,242.045229607953-148.020327888194i,240.464417482464-147.720696841548i,240.069221295357-147.645790383808i,-6.4263454923954+3.92091337741929i,0.000242045229607767-0.000148020327888082i,3.21294103219327-1.96031472279822i,3.21294063699708-1.96031464789176i,-0.000221777975440238+0.000135986401421122i,-0.0402479553220168,531.088525296181,530.380181190516,80,4.72883778722108e-16
4.04166213969451e-07,242.832312129039-148.174861779817i,241.765796632948-147.972698178778i,239.632850151526-147.568387167369i,239.099619804894-147.467310612669i,-8.6707142584448+5.29041827667437i,0.000241765796632697-0.000147972698178626i,4.33513504052559-2.64507283603917i,4.33513450729524-2.64507273496261i,-0.000202944827346157+0.000124732974411577i,-0.0401733099138943,714.584948953707,713.2953875486,80,1.28332645948617e-15
5.24998104660907e-07,242.82932931071-148.179034193375i,241.51825724429-147.930497446263i,238.896194635871-147.433439616635i,238.240684529477-147.309176221458i,-10.6588928052148+6.50367539147682i,0.000241518257243982-0.000147930497446076i,5.32923645972601-3.25170861951405i,5.3292358042159-3.25170849525066i,-0.000179023015672654+0.000110346214663492i,-0.040107250328458,876.272448474651,874.323642881544,80,2.67176421025147e-15
6.45829995352364e-07,242.826687173515-148.182729831586i,241.299000363991-147.893111836681i,238.243704732945-147.313890876398i,237.47988550324-147.16908653589i,-12.4198905281998+7.57836837063017i,0.000241299000363632-0.000147893111836463i,6.20974970209871-3.78906372081433i,6.20974893827949-3.78906357600999i,-0.000150588821225003+9.3180694025557e-05i,-0.0400487900526398,1018.80774699203,1016.16174608714,80,4.77270414849679e-15
7.66661886043821e-07,242.824346598354-148.186003466593i,241.104777281351-147.859989000987i,237.665712612038-147.207974367744i,236.805950131513-147.044971422651i,-13.9798054406876+8.53040714521359i,0.000241104777280947-0.000147859989000742i,6.98972351750619-4.26509294638332i,6.98972265774371-4.26509278338038i,-0.000118160660434394+7.35554608988897e-05i,-0.0399970449875641,1144.53665693824,1141.18418078494,80,7.70664673374395e-15
8.87493776735277e-07,242.822273023193-148.188903487053i,240.932717865174-147.830640871075i,237.15367705946-147.114129120086i,236.208919444151-146.935001688245i,-15.3616940027153+9.37384836353852i,0.00024093271786473-0.000147830640870806i,7.68068590912161-4.68682447979921i,7.680684964364-4.68682430067178i,-8.21965118290204e-05+5.17524266543731e-05i,-0.0399512364590527,1255.50050368567,1251.45241627754,80,1.15801224136982e-14
1.00832566742673e-06,242.820435939456-148.191472603939i,240.780288711132-147.804636563601i,236.70005892865-147.030977071206i,235.680002871546-146.837562478131i,-16.5859074051827+10.1211001869862i,0.000240780288710652-0.00014780463656331i,8.29281227217291-5.06046227765179i,8.29281125211685-5.0604620842372i,-4.31006042821678e-05+2.80204606157859e-05i,-0.0399106790106779,1353.47693331134,1348.75784858724,80,1.64872496566679e-14
1.12915755811819e-06,242.818808365087-148.193748588902i,240.645249355777-147.781594952044i,236.298190836952-146.95729930687i,235.211426312303-146.751225433266i,-17.6704433747381+10.7831365803819i,0.000240645249355266-0.000147781594951734i,8.83510129292109-5.39149321259084i,8.83510020615657-5.39149300651697i,-1.2304110397055e-06+2.57967917314392e-06i,-0.0398747679219526,1440.01886656607,1434.66236336173,80,2.25112997834265e-14
