Time,V_sec,V_PV,V_L1,V_L2,I_sec,I_PV,I_L1,I_L2,I_battery,P_PV,P_L1,P_L2,battery_soc,battery_ah
0,242.8453174766-148.156667239725i,242.84519799707-148.156644597255i,242.845048647682-148.156616294157i,242.845018777805-148.156610633538i,-0.000971380373809996+0.000592626499140354i,0.00024284519799707-0.000148156644597256i,0.00024284504864768-0.00014815661629416i,0.000242845018777806-0.000148156610633537i,-0.000242845108387433+0.000148156627615397i,-0.0404620907642768,0.0404620503022146,0.0404620422098051,80,0
3.0268907593591e-08,242.844742503032-148.15747169986i,242.797474007379-148.148513710679i,242.70302657685-148.130614712655i,242.679422178043-148.126141377078i,-0.384296963332075+0.234456433859285i,0.000242797474007368-0.000148148513710673i,0.191905836606046-0.117080146504874i,0.191905813001647-0.117080142031538i,-0.000242516250375434+0.000147996809162801i,-0.0404492977495218,31.9596407172322,31.9571107414296,80,1.62958787356231e-18
6.05378151871821e-08,242.84418441947-148.158252523035i,242.751152175022-148.14062154882i,242.565177170736-148.105376573826i,242.518690862923-148.096566741455i,-0.75635966049645+0.461450616543262i,0.000242751152175001-0.000148140621548808i,0.37793749609286-0.230577392724975i,0.377937449606552-0.230577383915142i,-0.000241963644862933+0.000147699281596118i,-0.0404368828175823,62.9121136390861,62.902307216356,80,6.46647539265056e-18
9.08067227807731e-08,242.843642729776-148.159010403747i,242.706191304693-148.132961102815i,242.431377836496-148.080879462243i,242.362681890419-148.067860459643i,-1.11749039151201+0.681776961919885i,0.000242706191304661-0.000148132961102796i,0.558503280074836-0.340740786944538i,0.558503211378889-0.340740773925535i,-0.000241193866984808+0.000147268088708983i,-0.0404248347313538,92.9279575570744,92.906546760358,80,1.60420204161774e-17
1.21075630374364e-07,242.843112311127-148.159752511219i,242.66216611438-148.125459966655i,242.300362982015-148.056891823076i,242.209919592989-148.039751190004i,-1.47110525316734+0.89751906044244i,0.000242662166114338-0.00014812545996663i,0.735311203331372-0.448612103563356i,0.735311112887983-0.448612086422723i,-0.000240274781869875+0.000146744996394028i,-0.0404130393768212,122.293142579868,122.256033591639,80,2.95663231020268e-17
1.76384480190978e-07,242.842179648129-148.161057385474i,242.584754850684-148.11227006093i,242.06999423711-148.014712316943i,241.941311413636-147.99032427228i,-2.09287927137742+1.27687014280937i,0.000242584754850624-0.000148112270060894i,1.0461993520089-0.638288281858749i,1.04619922332608-0.638288257470705i,-0.000238111287599427+0.00014549120985385i,-0.0403923039142741,173.86476376313,173.789649146858,80,7.1768107878687e-17
2.65665747953628e-07,242.840775167769-148.163022338525i,242.468184103442-148.092406903754i,241.723090341254-147.951192841726i,241.53682408566-147.915890691082i,-3.0291823527845+1.84812919096982i,0.000242468184103354-0.000148092406903701i,1.51435339528489-0.92391924525562i,1.51435320901863-0.92391920995347i,-0.000233280296875649+0.000142643353829605i,-0.0403610906424692,251.374568501015,251.217198758578,80,2.08947340596983e-16
4.20692684163796e-07,242.838608877984-148.166053021742i,242.288387629924-148.061767830656i,241.188031992773-147.853213999474i,240.912949905053-147.801076839209i,-4.4733095199283+2.72924987007167i,0.000242288387629795-0.000148061767830579i,2.23642311174125-1.36448319172149i,2.23642283665916-1.36448313958433i,-0.000221283140263464+0.000135476998016724i,-0.0403129749367023,370.570857184154,370.227650087047,80,7.45637442581195e-16
5.75719620373964e-07,242.83675359282-148.168648502315i,242.134408182906-148.035525316965i,240.729802212404-147.769295141308i,240.378657050488-147.702738803198i,-5.71006405778966+3.48387528922743i,0.000242134408182741-0.000148035525316866i,2.85480855399401-1.74180077277384i,2.85480820284884-1.74180070621751i,-0.00020516653862173+0.000125774710760262i,-0.0402717941909506,472.311085513316,471.751848347596,80,1.771399669444e-15
7.30746556584132e-07,242.835166301529-148.170868981222i,242.002674744698-148.013071637141i,240.337774038036-147.697492702399i,239.921554591381-147.618599061768i,-6.76813120058534+4.12949879212237i,0.000242002674744503-0.000148013071637023i,3.38385205688278-2.06461848538346i,3.38385164066333-2.06461840648982i,-0.000185500364488941+0.000113887177447709i,-0.0402365819794925,559.103222351698,558.317511448855,80,3.42209180957639e-15
